model,name,family,layer,shape,beta,p,N,Dstrict,DTW2,n_spikes,spike_energy,boot_p_TW,degenerate
bert-large-uncased,encoder.layer.6.attention.self.value.weight,attn_qkv,6,"(1024, 1024)",1.0,1024,1024,0.09075634629737273,0.1215317626335789,48,0.2742134002769136,0.004975124378109453,False
bert-large-uncased,encoder.layer.6.attention.output.dense.weight,attn_out,6,"(1024, 1024)",1.0,1024,1024,0.08514927605985312,0.11638642764530416,50,0.27267953934190853,0.004975124378109453,False
bert-large-uncased,encoder.layer.7.attention.self.query.weight,attn_qkv,7,"(1024, 1024)",1.0,1024,1024,0.08899642339252817,0.110234141768347,40,0.23838257048209469,0.004975124378109453,False
bert-large-uncased,encoder.layer.7.attention.self.key.weight,attn_qkv,7,"(1024, 1024)",1.0,1024,1024,0.10749365122158311,0.13612183421042928,50,0.3093242958842085,0.004975124378109453,False
bert-large-uncased,encoder.layer.7.attention.self.value.weight,attn_qkv,7,"(1024, 1024)",1.0,1024,1024,0.09193826902517183,0.12265917999970799,51,0.2883700833773548,0.004975124378109453,False
bert-large-uncased,encoder.layer.7.attention.output.dense.weight,attn_out,7,"(1024, 1024)",1.0,1024,1024,0.08433119532910749,0.11440070084334819,48,0.2698289905104095,0.004975124378109453,False
bert-large-uncased,encoder.layer.8.attention.self.query.weight,attn_qkv,8,"(1024, 1024)",1.0,1024,1024,0.0930301317705024,0.11304231150914684,37,0.2416772004212323,0.004975124378109453,False
bert-large-uncased,encoder.layer.8.attention.self.key.weight,attn_qkv,8,"(1024, 1024)",1.0,1024,1024,0.11059289486469182,0.1364938071686908,45,0.29588776044906284,0.004975124378109453,False
bert-large-uncased,encoder.layer.8.attention.self.value.weight,attn_qkv,8,"(1024, 1024)",1.0,1024,1024,0.08424999070162709,0.11529365812479131,50,0.2761532557954497,0.004975124378109453,False
bert-large-uncased,encoder.layer.8.attention.output.dense.weight,attn_out,8,"(1024, 1024)",1.0,1024,1024,0.07836314534136346,0.10767595706935651,48,0.2566425379668364,0.004975124378109453,False
bert-large-uncased,encoder.layer.9.attention.self.query.weight,attn_qkv,9,"(1024, 1024)",1.0,1024,1024,0.10754238415310757,0.13281307488003147,46,0.28120364866853076,0.004975124378109453,False
bert-large-uncased,encoder.layer.9.attention.self.key.weight,attn_qkv,9,"(1024, 1024)",1.0,1024,1024,0.12405437080335391,0.1549126808743494,53,0.3352410445393434,0.004975124378109453,False
bert-large-uncased,encoder.layer.9.attention.self.value.weight,attn_qkv,9,"(1024, 1024)",1.0,1024,1024,0.0749557059756425,0.10066048977372721,45,0.23378262558174218,0.004975124378109453,False
bert-large-uncased,encoder.layer.9.attention.output.dense.weight,attn_out,9,"(1024, 1024)",1.0,1024,1024,0.06347262072821214,0.08402499419125853,36,0.19725746193484656,0.004975124378109453,False
bert-large-uncased,encoder.layer.10.attention.self.query.weight,attn_qkv,10,"(1024, 1024)",1.0,1024,1024,0.14784140529283823,0.17557950444329845,47,0.3781284144526916,0.004975124378109453,False
bert-large-uncased,encoder.layer.10.attention.self.key.weight,attn_qkv,10,"(1024, 1024)",1.0,1024,1024,0.1529015507907892,0.17687558291868616,42,0.36437437329109695,0.004975124378109453,False
bert-large-uncased,encoder.layer.10.attention.self.value.weight,attn_qkv,10,"(1024, 1024)",1.0,1024,1024,0.08516221536837243,0.11108367222217841,47,0.25106919212625445,0.004975124378109453,False
bert-large-uncased,encoder.layer.10.attention.output.dense.weight,attn_out,10,"(1024, 1024)",1.0,1024,1024,0.07639459277069388,0.09784938672778826,43,0.21324923309919006,0.004975124378109453,False
bert-large-uncased,encoder.layer.11.attention.self.query.weight,attn_qkv,11,"(1024, 1024)",1.0,1024,1024,0.12294130462215103,0.15202455317936647,53,0.3299669483378224,0.004975124378109453,False
bert-large-uncased,encoder.layer.11.attention.self.key.weight,attn_qkv,11,"(1024, 1024)",1.0,1024,1024,0.12285811052800105,0.14767858760290942,45,0.3073163542835099,0.004975124378109453,False
bert-large-uncased,encoder.layer.11.attention.self.value.weight,attn_qkv,11,"(1024, 1024)",1.0,1024,1024,0.09158849752234938,0.11998603230109572,49,0.26398677776206836,0.004975124378109453,False
