model,name,family,layer,shape,beta,p,N,Dstrict,DTW1,DTW2,DTW3,degenerate
bert-base-uncased,encoder.layer.10.intermediate.dense.weight,ffn_intermediate,10,"(3072, 768)",0.25,768,3072,0.1400682161545479,0.11400812054407727,0.11207175671527192,0.10954975308324022,False
bert-base-uncased,encoder.layer.10.output.dense.weight,ffn_output,10,"(768, 3072)",0.25,768,3072,0.05380136612426974,0.04095064732711623,0.04099258197809502,0.03906433141213195,False
bert-base-uncased,encoder.layer.11.attention.self.query.weight,attn_qkv,11,"(768, 768)",1.0,768,768,0.09454501001206422,0.11345604089203704,0.11336753273002326,0.11325265459913109,False
bert-base-uncased,encoder.layer.11.attention.self.key.weight,attn_qkv,11,"(768, 768)",1.0,768,768,0.08918182642122302,0.11203788249921648,0.11195602618894063,0.11184978175100102,False
bert-base-uncased,encoder.layer.11.attention.self.value.weight,attn_qkv,11,"(768, 768)",1.0,768,768,0.0588119104201153,0.06783572781176,0.06837564081257841,0.06828410165598792,False
bert-base-uncased,encoder.layer.11.attention.output.dense.weight,attn_out,11,"(768, 768)",1.0,768,768,0.03659058740799681,0.03902574637127304,0.03896718486846501,0.039845904162613854,False
bert-base-uncased,encoder.layer.11.intermediate.dense.weight,ffn_intermediate,11,"(3072, 768)",0.25,768,3072,0.10833296096244613,0.08648939038955933,0.0853390323419766,0.08379940173130301,False
bert-base-uncased,encoder.layer.11.output.dense.weight,ffn_output,11,"(768, 3072)",0.25,768,3072,0.17768984972160978,0.03950829068935857,0.03911321119818956,0.03860619369611096,False
bert-base-uncased,pooler.dense.weight,pooler,-1,"(768, 768)",1.0,768,768,0.2886487175998557,0.2999026647188749,0.2998220345872121,0.29971738165342326,False
albert-base-v2,embeddings.word_embeddings.weight,emb_word,-1,"(30000, 128)",0.004266666666666667,128,30000,0.43739409568069537,0.0965513574377598,0.09751858008279349,0.10549477592227927,False
albert-base-v2,embeddings.position_embeddings.weight,emb_position,-1,"(512, 128)",0.25,128,512,0.921875,0.5615137960177057,0.5671095431145208,0.5739783607575047,False
albert-base-v2,embeddings.token_type_embeddings.weight,emb_token_type,-1,"(2, 128)",0.015625,2,128,nan,nan,nan,nan,True
albert-base-v2,encoder.embedding_hidden_mapping_in.weight,emb_projection,-1,"(768, 128)",0.16666666666666666,128,768,0.15807195123707846,0.2296772517325742,0.22463674547961154,0.21828683326892884,False
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.query.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.12131641678759769,0.14640495670162612,0.14705501629297546,0.1469667399857838,False
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.key.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.135036358824688,0.16014328941267275,0.16007264120896342,0.16073899492819976,False
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.value.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.06672158327046401,0.08386897431395396,0.08379754615000556,0.08435376606900391,False
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.dense.weight,attn_out,0,"(768, 768)",1.0,768,768,0.070525998268654,0.08152475367873532,0.08148416053760987,0.08143147314614868,False
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.ffn.weight,ffn_intermediate,0,"(3072, 768)",0.25,768,3072,0.1852593042348652,0.08764821186750349,0.0848795233206937,0.08351835830614368,False
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.ffn_output.weight,ffn_output,0,"(768, 3072)",0.25,768,3072,0.1923414835634325,0.07259630314208404,0.06943789681249346,0.0673057061943429,False
albert-base-v2,pooler.weight,pooler,-1,"(768, 768)",1.0,768,768,0.3345755770117221,0.3477739199098337,0.347717922106748,0.3476452404149561,False
