model,name,family,beta,D_TW,alpha,alpha_ww,xmin,pl_ks,n_tail
bert-large-uncased,encoder.layer.23.attention.self.value.weight,attn_qkv,1.0,0.0724,10.67,nan,4.12482225656293,0.0651,27
bert-large-uncased,encoder.layer.23.attention.output.dense.weight,attn_out,1.0,0.0444,16.604,nan,3.7488330148015225,0.0767,26
bert-large-uncased,encoder.layer.23.intermediate.dense.weight,ffn_intermediate,0.25,0.0808,5.09,nan,2.3324381951405737,0.0311,58
bert-large-uncased,encoder.layer.23.output.dense.weight,ffn_output,0.25,0.0487,9.163,nan,2.631243805196157,0.0469,45
bert-large-uncased,pooler.dense.weight,pooler,1.0,0.3183,2.249,nan,0.4890059003789464,0.049,271
albert-base-v2,embeddings.word_embeddings.weight,emb_word,0.0043,0.0975,4.075,nan,0.9086003164894868,0.0598,68
albert-base-v2,embeddings.position_embeddings.weight,emb_position,0.25,0.5671,1.313,nan,6.2643519101312985e-06,0.1386,128
albert-base-v2,encoder.embedding_hidden_mapping_in.weight,emb_projection,0.1667,0.2246,7.947,nan,1.2364184451991969,0.0423,31
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.query.weight,attn_qkv,1.0,0.1471,3.837,nan,4.16228705952305,0.05,38
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.key.weight,attn_qkv,1.0,0.1601,3.468,nan,3.4236935470134875,0.0346,58
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.value.weight,attn_qkv,1.0,0.0838,3.984,nan,2.7342591804458602,0.0683,78
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.dense.weight,attn_out,1.0,0.0815,3.348,nan,2.2957244710156592,0.048,97
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.ffn.weight,ffn_intermediate,0.25,0.0849,3.635,nan,1.5917421991602112,0.0264,130
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.ffn_output.weight,ffn_output,0.25,0.0694,3.415,nan,1.5463457298282144,0.0305,146
albert-base-v2,pooler.weight,pooler,1.0,0.3477,2.453,nan,1.3539283937788948,0.0362,84
