model,name,family,beta,n_spikes_naive,n_spikes_bbp,near_edge,Espike_naive,Espike_bbp
bert-base-uncased,encoder.layer.9.attention.self.key.weight,attn_qkv,1.0,32,32,0,0.2725,0.2725
bert-base-uncased,encoder.layer.9.attention.self.value.weight,attn_qkv,1.0,12,11,1,0.0711,0.0659
bert-base-uncased,encoder.layer.9.attention.output.dense.weight,attn_out,1.0,10,8,2,0.0601,0.0496
bert-base-uncased,encoder.layer.9.intermediate.dense.weight,ffn_intermediate,0.25,54,53,1,0.2482,0.2453
bert-base-uncased,encoder.layer.9.output.dense.weight,ffn_output,0.25,32,31,1,0.1112,0.1083
bert-base-uncased,encoder.layer.10.attention.self.query.weight,attn_qkv,1.0,29,29,0,0.2328,0.2328
bert-base-uncased,encoder.layer.10.attention.self.key.weight,attn_qkv,1.0,27,26,1,0.214,0.2088
bert-base-uncased,encoder.layer.10.attention.self.value.weight,attn_qkv,1.0,8,7,1,0.0509,0.0457
bert-base-uncased,encoder.layer.10.attention.output.dense.weight,attn_out,1.0,6,6,0,0.0373,0.0373
bert-base-uncased,encoder.layer.10.intermediate.dense.weight,ffn_intermediate,0.25,59,59,0,0.2567,0.2567
bert-base-uncased,encoder.layer.10.output.dense.weight,ffn_output,0.25,29,28,1,0.0954,0.0924
bert-base-uncased,encoder.layer.11.attention.self.query.weight,attn_qkv,1.0,27,27,0,0.2624,0.2624
bert-base-uncased,encoder.layer.11.attention.self.key.weight,attn_qkv,1.0,31,30,1,0.2526,0.2474
bert-base-uncased,encoder.layer.11.attention.self.value.weight,attn_qkv,1.0,17,15,2,0.0963,0.0859
bert-base-uncased,encoder.layer.11.attention.output.dense.weight,attn_out,1.0,6,5,1,0.0369,0.0316
bert-base-uncased,encoder.layer.11.intermediate.dense.weight,ffn_intermediate,0.25,51,50,1,0.212,0.2091
bert-base-uncased,encoder.layer.11.output.dense.weight,ffn_output,0.25,57,56,1,0.1974,0.1945
bert-base-uncased,pooler.dense.weight,pooler,1.0,12,12,0,0.6019,0.6019
bert-large-uncased,embeddings.word_embeddings.weight,emb_word,0.0335,175,175,0,0.4131,0.4131
bert-large-uncased,embeddings.position_embeddings.weight,emb_position,0.5,16,16,0,0.6612,0.6612
bert-large-uncased,encoder.layer.0.attention.self.query.weight,attn_qkv,1.0,37,36,1,0.2854,0.2815
bert-large-uncased,encoder.layer.0.attention.self.key.weight,attn_qkv,1.0,38,38,0,0.2451,0.2451
bert-large-uncased,encoder.layer.0.attention.self.value.weight,attn_qkv,1.0,47,46,1,0.2221,0.2182
bert-large-uncased,encoder.layer.0.attention.output.dense.weight,attn_out,1.0,48,48,0,0.264,0.264
bert-large-uncased,encoder.layer.0.intermediate.dense.weight,ffn_intermediate,0.25,79,78,1,0.2523,0.2501
bert-large-uncased,encoder.layer.0.output.dense.weight,ffn_output,0.25,60,58,2,0.1718,0.1674
bert-large-uncased,encoder.layer.1.attention.self.query.weight,attn_qkv,1.0,38,37,1,0.284,0.2801
bert-large-uncased,encoder.layer.1.attention.self.key.weight,attn_qkv,1.0,35,35,0,0.2696,0.2696
bert-large-uncased,encoder.layer.1.attention.self.value.weight,attn_qkv,1.0,60,59,1,0.3375,0.3336
bert-large-uncased,encoder.layer.1.attention.output.dense.weight,attn_out,1.0,61,60,1,0.3504,0.3465
bert-large-uncased,encoder.layer.1.intermediate.dense.weight,ffn_intermediate,0.25,67,66,1,0.2398,0.2376
bert-large-uncased,encoder.layer.1.output.dense.weight,ffn_output,0.25,57,56,1,0.1651,0.1629
bert-large-uncased,encoder.layer.2.attention.self.query.weight,attn_qkv,1.0,45,44,1,0.3171,0.3132
bert-large-uncased,encoder.layer.2.attention.self.key.weight,attn_qkv,1.0,52,51,1,0.3577,0.3538
bert-large-uncased,encoder.layer.2.attention.self.value.weight,attn_qkv,1.0,52,51,1,0.2878,0.2839
bert-large-uncased,encoder.layer.2.attention.output.dense.weight,attn_out,1.0,49,48,1,0.2695,0.2655
bert-large-uncased,encoder.layer.2.intermediate.dense.weight,ffn_intermediate,0.25,70,70,0,0.2565,0.2565
bert-large-uncased,encoder.layer.2.output.dense.weight,ffn_output,0.25,60,60,0,0.1751,0.1751
